         instance    w    h  lots  land_cells  river_cells  preserve_cells  aptitude_classes  connected_components  batch_size  crossover_rate  keep_rate  new_rate     time  generations                  seed  num_new_solutions  num_crossovers  num_mutations  num_solutions_explored  generation_best  time_to_best  time_avg  time_std_dev  time_initial  value_best  value_worst  value_avg  value_std_dev  value_initial  max_area_best  max_area_worst  max_area_avg  max_area_std_dev  max_area_initial  min_area_best  min_area_worst  min_area_avg  min_area_std_dev  min_area_initial  rivers_best  rivers_worst  rivers_avg  rivers_std_dev  rivers_initial  river_violations_best  river_violations_worst  river_violations_avg  river_violations_std_dev  river_violations_initial  size_ratio_best  size_ratio_worst  size_ratio_avg  size_ratio_std_dev  size_ratio_initial  convexity_best  convexity_worst  convexity_avg  convexity_std_dev  convexity_initial  num_empty_crossover_lots  num_disconnected_crossover_lots  num_empty_mutation_lots  num_disconnected_mutation_lots
 200x200k40s45221  200  200    40       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         7894  14059418385192059979                480           39315          39315                   79110             4585       1028.91      0.23          0.11          1.81     1817.42     15184.62    4993.89        2895.69        9931.53            707             260        607.66            136.96               235           1280            1772       1313.83            197.73              1240            0          4609       65.22          289.57            1589                      0                      14                  0.78                      2.15                        12             1.81              6.82            2.59                3.23                5.28            1.21             1.31           1.24               0.02               1.29                      8373                           122616                        0                               0
 200x200k60s45221  200  200    60       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         5620  14059623677374542771                270           28013          28012                   56295             4743       1523.83      0.32          0.12          2.38     1885.66     10797.53    4685.94        2966.81       12381.80            451             246        358.80            115.13               250            846            1099        895.20            132.65              1200            0          6054      125.05          358.10            4554                      0                      21                  1.72                      3.20                        20             1.88              4.47            3.21                3.08                4.80            1.27             1.30           1.25               0.02               1.30                      9112                           125562                        0                               0
 200x200k80s45221  200  200    80       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         4494  14059436673358630805                210           22402          22402                   45014             1184        480.58      0.40          0.14          2.61     1447.21      9858.78    3637.07        1711.74        9803.87            324             166        245.78             76.13               246            634             883        672.02             85.89               984            0          4840      109.27          350.48            4445                      0                      30                  1.98                      4.56                        28             1.96              5.32            3.51                9.77                4.00            1.22             1.33           1.26               0.02               1.33                     13174                           131402                        0                               0
300x300k100s94113  300  300   100       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1545  14059640081248214984                 75            7703           7703                   15481             1404       1617.58      1.16          0.60         11.32     4115.33     19258.11    7931.65        2964.84       14390.57            539             301        405.12             97.99               317           1054            2425       1346.70            259.59              1303            0          9325      103.99          580.51            9286                      0                      29                  2.14                      4.52                        31             1.96              8.06            3.69                1.85                4.11            1.25             1.35           1.29               0.04               1.35                      5650                            77593                        0                               0
 300x300k20s94113  300  300    20       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         5942  14059410664997990794                210           29642          29642                   59494             3419       1038.38      0.30          0.24          5.27    94546.23     57201.87   67634.53       23338.03       75236.50           2014            2256       1950.75            673.55              1925           7753            7720       7723.71             15.16              7720            0         10246     2366.02         1131.55            5700                      0                       7                  1.41                      1.10                         3             3.85              3.42            5.77               11.19                4.01            1.46             1.51           1.34               0.07               1.29                      1093                            82710                        0                               0
 300x300k40s94113  300  300    40       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         3201  14059625862097817073                240           15926          15926                   32092              799        468.51      0.56          0.44          6.90    10557.78     46551.47   25038.10       10557.83       30180.66           1393             681       1016.59            370.22              1284           2741            4942       3847.53           1041.11              3404            0         13519      204.09          811.63            7064                      0                      15                  2.20                      3.02                        15             1.97              7.26            5.13                4.51                2.65            1.26             1.42           1.35               0.05               1.38                      7945                            70729                        0                               0
 300x300k60s94113  300  300    60       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         2256  14060134087730667456                151           11230          11230                   22611              283        239.72      0.80          0.52          8.23     6655.47     30154.15   11920.73        4757.29       24038.96            999             802        787.38            184.30               295           1711            3306       1997.20            264.48              2320            0         10058      123.29          579.72            6848                      0                      20                  2.44                      4.09                        19             1.71              4.12            2.83                1.49                7.86            1.25             1.38           1.30               0.03               1.39                      5119                            75642                        0                               0
 300x300k80s94113  300  300    80       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.02         1835  14060136242452733578                 75            9155           9155                   18385              931        911.10      0.98          0.50         10.01     5262.17     22435.45    9416.38        3246.97       26706.89            739             259        559.75            146.85               442           1323            1900       1491.51            246.49              2994            0          9822       96.02          571.52            8614                      0                      27                  1.48                      4.11                        23             1.79              7.34            3.19                2.59                6.77            1.26             1.39           1.30               0.03               1.38                      6196                            78874                        0                               0
400x400k100s16692  400  400   100      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          691  14059676397932994041                 45            3444           3444                    6933              222        592.39      2.60          2.14         34.53     7858.71     21820.98    8838.14        1444.09       21820.98           1168             867       1080.51            108.83               867           1897            3018       1918.10            263.88              3018            0          3225       19.80          171.58            3225                      0                      17                  0.34                      1.87                        17             1.62              3.48            1.85                0.89                3.48            1.23             1.44           1.24               0.03               1.44                       352                            39593                        0                               0
 400x400k20s16692  400  400    20      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         2328  14059410787829492624                120           11604          11604                   23328             2325       1798.19      0.77          0.80         14.39    28326.58     69050.05   30282.61        6177.89       76110.71           6750            5682       6828.44            234.67              5565           8700           10231       8950.30            270.91             10809            0          3698       10.12          132.39             118                      0                       5                  0.06                      0.46                         4             1.29              1.80            1.31                0.11                1.94            1.32             1.47           1.32               0.05               1.47                       220                            56161                        0                               0
 400x400k40s16692  400  400    40      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         1377  14060331147629630285                 86            6860           6860                   13806              793       1066.25      1.30          1.19         20.47    13852.81     54958.79   17979.78        6197.97       77776.40           3309            2114       2993.59            426.22              1220           4523            6588       4685.72            360.25              7040            0          2519        8.46          102.11            2249                      0                       8                  0.10                      0.75                         9             1.37              3.12            1.69                1.16                5.77            1.28             1.41           1.28               0.04               1.39                       592                            47911                        0                               0
 400x400k60s16692  400  400    60      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.01          880  14059941798672010357                 75            4378           4378                    8831              580       1182.37      2.04          1.84         24.92     5690.31     28167.39   10973.44        5410.10       43073.59           2104            1322       1943.46            274.00              1396           3180            4162       3207.44            403.62              5031            0          5305       41.22          292.26            3100                      0                      12                  0.46                      1.74                        11             1.51              3.15            1.78                1.20                3.60            1.26             1.44           1.27               0.04               1.47                       905                            37044                        0                               0
 400x400k80s16692  400  400    80      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          676  14060140171613970320                 45            3368           3367                    6780              540       1406.74      2.66          1.90         30.11     5916.43     46227.15    8340.16        3952.72       21621.30           1632             532       1458.30            219.89               874           2357            5112       2412.76            213.02              2846            0          5797       40.67          348.73            3186                      0                      13                  0.39                      1.62                        11             1.44              9.61            1.74                0.61                3.26            1.23             1.42           1.27               0.04               1.39                       768                            34560                        0                               0
500x500k100s32414  500  500   100      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          258  14059672978232366133                 15            1290           1290                    2595              255       1782.52      6.96          4.26         71.12    14914.38     44355.04   21608.45        3148.14       44355.04           1602             837       1269.60            326.65               837           4181            4118       4158.38            225.09              4118            0          6571      126.99          730.54            6571                      0                      14                  2.11                      3.47                        14             2.61              4.92            3.72                1.83                4.92            1.31             1.46           1.35               0.04               1.46                      1136                            23302                        0                               0
 500x500k20s32414  500  500    20      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          776  14059900005379338169                 75            3856           3855                    7786              753       1741.65      2.32          2.45         31.29    57975.06    101269.14   94899.53       22638.62      173686.09           7397            6717       7307.64            668.10              5821          20108           20204      19337.93            900.01             17864            0         14698      119.62          965.30            8884                      0                       3                  0.21                      0.77                         5             2.72              3.01            2.67                0.31                3.07            1.55             1.53           1.47               0.06               1.46                       890                            17770                        0                               0
 500x500k40s32414  500  500    40      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          630  14060475239849283114                 44            3140           3140                    6324              530       1528.39      2.79          2.43         44.50    29686.81     64936.80   34368.43        7846.22      108860.05           4133            3038       4027.00            266.68              2808           9540           11104       9634.11            238.86              9462            0          9099       54.99          628.99            7510                      0                       4                  0.19                      0.86                         6             2.31              3.66            2.43                0.74                3.37            1.40             1.51           1.40               0.02               1.59                       325                            31026                        0                               0
 500x500k60s32414  500  500    60      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          440  14059474258843395155                 30            2195           2195                    4420              251        993.74      4.08          3.36         52.74    16949.89     61399.09   25018.90       11230.11       40049.35           2503            1449       2311.67            401.58              2142           6797           12312       6958.48            340.65              7986            0         14756       93.06          872.04            6549                      0                      13                  0.69                      1.96                         8             2.72              8.50            3.37                2.15                3.73            1.37             1.54           1.39               0.03               1.48                       782                            27306                        0                               0
 500x500k80s32414  500  500    80      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          356  14060475194596617638                 35            1770           1770                    3575              147        804.52      5.00          4.37         60.51    18186.84     45736.70   25294.29        6022.46       43482.85           1971            1215       1670.41            351.30              1570           5277            6196       5190.40            174.00              5313            0          9536      114.21          676.37            1690                      0                      13                  1.68                      2.66                        10             2.68              5.10            3.33                1.14                3.38            1.31             1.44           1.34               0.03               1.41                       574                            26244                        0                               0
 600x600k100s6306  600  600   100      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          228  14060475192678103318                 30            1133           1132                    2295              121       1025.28      7.86         11.60        124.01    47039.11     75600.81   49937.13        5480.40       61231.37           2221            1404       1925.33            529.72              1060           5686            6289       5706.59            244.30              7790            0         24466     1025.18         3125.38           23603                      0                      19                  2.21                      4.98                        16             2.56              4.48            4.64                9.22                7.35            1.35             1.47           1.36               0.04               1.45                       278                            21640                        0                               0
  600x600k20s6306  600  600    20      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.05          758  14059398471664638265                 60            3774           3773                    7607              398        891.46      2.37          3.48         50.79   314786.04    333477.74  331767.51       28973.53      333477.74          11813            7896      10720.43           1027.63              7896          22229           30528      23573.89           1867.01             30528            0         23281      124.45         1178.33           23281                      0                       7                  0.12                      0.67                         7             1.88              3.87            2.22                0.33                3.87            1.47             1.70           1.50               0.06               1.70                       285                            19012                        0                               0
  600x600k40s6306  600  600    40      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.04          516  14059696284571041883                 45            2570           2570                    5185              509       1777.42      3.48          4.07         57.96   108287.58    215060.62  142390.95       22971.38      298800.15           6530            2743       4953.77            909.40              3126          11979           18063      12538.36            760.11             17345            0         13699      186.88         1180.75           13424                      0                       7                  0.42                      1.32                        13             1.83              6.59            2.74                1.39                5.55            1.42             1.81           1.50               0.06               1.58                       607                            22728                        0                               0
  600x600k60s6306  600  600    60      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.01          415  14060470425065342036                 30            2067           2067                    4164              408       1778.54      4.33          4.89         71.92    91445.49    164858.15   92128.16        6989.11      139808.70           3027            3416       2953.91            441.27              3106           8709           14199       9056.72            499.17             11500           19         21321     1093.98         1940.39           17186                      1                      17                  3.43                      2.46                        15             2.88              4.16            3.19                0.92                3.70            1.44             1.55           1.45               0.02               1.60                       485                            23200                        0                               0
  600x600k80s6306  600  600    80      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          329  14059735684379334506                 30            1640           1639                    3309              214       1148.15      5.45          6.43         85.39    56043.71     83476.53   59632.82        7172.59       83476.53           2831            1629       2665.32            372.86              1629           6533            7993       6605.89            541.86              7993            0         36371      589.84         3022.15           36371                      0                      19                  1.12                      3.19                        19             2.31              4.91            2.60                0.87                4.91            1.44             1.51           1.43               0.04               1.51                       384                            25724                        0                               0
        fortaleza  449  250    40       23231         1388           87631                 4                     1         256            0.59       0.85      0.05  1800.00        16029  14042714819305313478                855           79864          79864                  160583             2773        309.21      0.11          0.05          1.01     1003.25      5900.70    3211.51        1642.91        8451.22            514             346        362.65            122.64               141            629            1119        761.98            124.27              1158            0          6316       52.32          338.00            4899                      0                      30                  0.55                      2.48                        19             1.22              3.23            2.92                4.21                8.21            1.19             1.29           1.22               0.02               1.24                     36163                           179252                        0                               0
200x200k100s45221  200  200   100       37594         2241             165                 5                     7         256            0.59       0.85      0.05  1800.00         3703  14042771743799834072                270           18427          18427                   37124             3461       1685.47      0.49          0.18          3.08     5006.60      7615.95    3975.58         982.04        6761.46            121             174        140.12             39.63                90            546             982        597.90            119.25               737            9          5634      138.24          357.08            3850                      1                      37                  3.83                      5.85                        27             4.51              5.64            4.71                2.24                8.19            1.27             1.35           1.27               0.01               1.29                     17017                           143791                        0                               0
 200x200k20s45221  200  200    20       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00        13865  14042707438473071081                840           69046          69045                  138931             5673        744.56      0.13          0.09          1.54     5516.24     25088.28    9248.72        4141.58       23403.53           1467            1233       1233.34            234.89               865           2455            4070       2392.25            143.07              2593            0          3549       33.92          192.02            2192                      0                       7                  0.48                      1.06                         8             1.67              3.30            2.09                1.10                3.00            1.23             1.32           1.22               0.03               1.36                      3620                           116021                        0                               0
 200x200k40s45221  200  200    40       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         8037  14041038041912356030                480           40027          40027                   80534             1298        298.03      0.22          0.11          2.02     1863.21     25586.99    6093.73        4491.10       15279.10            720             277        594.27            159.47               290           1264            2625       1327.41            175.96              1546            0          6069      104.48          371.61            3372                      0                      14                  1.03                      2.47                        13             1.76              9.48            2.72                2.15                5.33            1.19             1.35           1.25               0.03               1.29                      8619                           125610                        0                               0
 200x200k60s45221  200  200    60       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         5743  14042771016515480350                285           28623          28622                   57530             3319       1045.91      0.31          0.12          2.44     1712.93      9587.61    4870.42        3049.43        9819.34            445             349        339.69            119.05               110            832            1116        896.43            124.95              1339            0          4707       84.98          324.90            3901                      0                      25                  1.24                      3.18                        23             1.87              3.20            3.37                2.42               12.17            1.24             1.35           1.26               0.03               1.31                     13842                           131105                        0                               0
 200x200k80s45221  200  200    80       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         4323  14042715733039082275                225           21545          21545                   43315              628        263.96      0.42          0.14          2.72     1406.46      9103.78    3372.12        2012.05        8496.31            346             151        270.22             84.31               172            610             817        680.82            120.30               915            0          5008       70.62          322.42            4959                      0                      30                  1.58                      4.49                        25             1.76              5.41            3.29                3.34                5.32            1.24             1.31           1.26               0.03               1.30                      9917                           130327                        0                               0
300x300k100s94113  300  300   100       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1532  14041036323720751463                 75            7639           7639                   15353              463        538.66      1.17          0.60         11.38     4910.26     12697.62    7532.17        2056.56       13702.62            508             372        387.35            116.16               323           1206            1486       1253.11            137.97              1835            0         11634      137.12          612.82            8641                      0                      35                  2.96                      5.97                        30             2.37              3.99            3.98                2.82                5.68            1.26             1.35           1.30               0.03               1.34                      5704                            75283                        0                               0
 300x300k20s94113  300  300    20       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         5955  14042783813667401886                195           29712          29712                   59619             5339       1608.32      0.30          0.23          5.19   100189.96     62330.59   77281.69       30594.23       59934.83           1925            3078       1917.19            638.56              2359           7767            7720       7728.72             33.60              7720            0         12187     2222.15         1633.77            9755                      0                      10                  1.48                      1.21                         6             4.03              2.51            6.16               23.39                3.27            1.38             1.30           1.36               0.09               1.29                      1172                            77473                        0                               0
 300x300k40s94113  300  300    40       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         3186  14041037135510875561                240           15854          15854                   31948             2240       1269.71      0.56          0.45          6.87    11062.94     30193.43   19444.48        6743.49       50102.78           1346             863       1186.04            316.56               869           2660            3375       3370.69            666.72              4291            0         11710      218.81          757.27           10220                      0                      18                  2.23                      2.69                        16             1.98              3.91            3.53                3.60                4.94            1.29             1.40           1.32               0.03               1.38                      5332                            75194                        0                               0
 300x300k60s94113  300  300    60       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         2259  14041038267116446949                180           11236          11236                   22652             1412       1128.98      0.80          0.58          7.89     6691.97     23128.35   15217.17        8450.08       31367.61            921             619        702.24            226.32               599           1837            2327       2399.88            855.96              3347            0          9526      141.73          632.83            8191                      0                      22                  2.19                      3.96                        15             1.99              3.76            4.26                3.23                5.59            1.33             1.35           1.30               0.04               1.44                      6107                            72816                        0                               0
 300x300k80s94113  300  300    80       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1774  14040822115242884289                105            8839           8839                   17783             1086       1086.23      1.01          0.58         10.34     5385.10     24250.18    8469.69        2976.05       11565.19            739             558        577.95            134.39               519           1370            2341       1487.18            187.89              1731            0         10046      146.06          716.67            5178                      0                      25                  2.32                      4.97                        21             1.85              4.20            2.84                1.32                3.34            1.25             1.42           1.28               0.03               1.37                      4117                            74356                        0                               0
400x400k100s16692  400  400   100      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          552  14042782539751457308                 30            2752           2752                    5534              412       1305.96      3.26          2.00         35.37     5391.28     25384.76    7561.50        3150.16       25384.76           1297             708       1094.67            281.64               708           1862            2646       1939.21            132.73              2646            0          2510       16.30          156.93            2510                      0                      18                  0.36                      1.62                        18             1.44              3.74            2.15                1.68                3.74            1.25             1.44           1.27               0.05               1.44                       748                            34423                        0                               0
 400x400k20s16692  400  400    20      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         2282  14042702216897039804                150           11362          11361                   22873             1229        982.62      0.79          0.87         14.23    25284.80     99907.47   30329.29        8492.37       56047.68           6854            5184       6926.85            436.54              5036           8692           13029       9169.31            367.08              9845            0          7235       27.61          312.52            5835                      0                       5                  0.09                      0.56                         5             1.27              2.51            1.35                0.55                1.95            1.43             1.64           1.30               0.05               1.38                       308                            54314                        0                               0
 400x400k40s16692  400  400    40      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         1219  14042698768057098090                105            6064           6064                   12233             1107       1632.78      1.48          1.46         20.24    13938.73     67633.65   20579.97        9171.55       45010.45           3260            1735       2897.32            568.92              2594           4479            6933       4727.76            396.47              7465            0          2555       14.79          141.55            2311                      0                       8                  0.22                      1.03                         6             1.37              4.00            1.77                0.77                2.88            1.30             1.59           1.31               0.04               1.44                      1654                            38598                        0                               0
 400x400k60s16692  400  400    60      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          890  14041039237622942878                 75            4430           4430                    8935              849       1735.52      2.02          1.84         26.30     9879.31     34519.85   14269.01        5188.80       23036.93           2221            1582       1884.07            358.77              1633           3082            4274       3262.48            422.22              3483            0          3397       24.89          203.22             964                      0                      11                  0.39                      1.50                         6             1.39              2.70            1.88                0.93                2.13            1.24             1.40           1.29               0.05               1.45                      1444                            37361                        0                               0
 400x400k80s16692  400  400    80      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          726  14041012151500273438                 30            3623           3623                    7276              433       1108.31      2.48          1.50         29.15     5593.02     26251.92    8220.38        4432.12       26172.60           1612            1113       1471.43            232.56              1017           2353            3300       2419.48            169.47              3319            0          5876       28.00          298.65             162                      0                      13                  0.52                      1.83                         8             1.46              2.96            1.73                0.55                3.26            1.23             1.40           1.25               0.04               1.33                       806                            37071                        0                               0
500x500k100s32414  500  500   100      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          320  14040830261657142733                 30            1591           1591                    3212              302       1711.94      5.62          5.38         67.81    12700.01     49440.92   28192.95        6865.09       49440.92           1452            1259       1008.27            215.01              1259           4359            4056       4120.62            152.33              4056            0         15673      269.43         1219.67           15673                      0                      20                  4.23                      5.42                        20             3.00              3.22            4.23                0.68                3.22            1.28             1.47           1.35               0.03               1.47                      1172                            28698                        0                               0
 500x500k20s32414  500  500    20      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          810  14032637010523362869                 75            4026           4025                    8126              110        241.58      2.22          2.49         33.36    52187.63    216694.89   84039.55       33038.58      126241.50           8001            7804       7383.78           1356.20              5785          18485           17475      19393.32           1659.40             21691            0         22337       82.11         1105.73            5599                      0                       7                  0.13                      0.68                         3             2.31              2.24            2.92                1.81                3.75            1.57             1.58           1.49               0.08               1.62                       777                            16581                        0                               0
 500x500k40s32414  500  500    40      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          504  14032396270746407799                 45            2508           2508                    5061              420       1553.48      3.57          3.06         42.89    35531.14     84449.05   48542.98       11688.07       84449.05           3482            3369       3285.75            232.63              3369          10017           10231       9749.76            427.42             10231            0         11507       92.88          782.67           11507                      0                      10                  0.39                      1.34                        10             2.88              3.04            2.98                0.18                3.04            1.41             1.49           1.42               0.06               1.49                      1578                            19957                        0                               0
 500x500k60s32414  500  500    60      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          401  14041044492642706832                 30            2000           2000                    4030              390       1738.50      4.47          3.85         53.55    24205.70     83438.56   35746.01       11007.78       83438.56           2414            2297       2178.03            305.23              2297           7108            6895       6661.19            220.33              6895            0          1950       29.76          200.11            1950                      0                      13                  0.76                      1.57                        13             2.94              3.00            3.16                0.76                3.00            1.40             1.48           1.39               0.06               1.48                      1111                            23001                        0                               0
 500x500k80s32414  500  500    80      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          252  14040824361937019601                 30            1253           1253                    2536              242       1742.99      7.13          5.16         63.54    20255.74     60093.32   33700.48       10704.90       47420.94           1782            1737       1645.65            241.59              1370           5163            5261       4921.18            300.09              4246            0         11648      120.38          885.92            6907                      0                      15                  3.03                      2.88                        13             2.90              3.03            3.10                0.82                3.10            1.48             1.55           1.46               0.04               1.44                      1224                            19684                        0                               0
 600x600k100s6306  600  600   100      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          238  14041011180727902142                 15            1190           1190                    2395              175       1419.15      7.54          7.81        120.47    41302.80     65523.93   45244.37        6577.59       65523.93           2334            1261       2121.14            469.51              1261           5295            5343       5387.21            282.95              5343            0         22813      730.21         2367.27           22813                      0                      22                  2.53                      4.78                        22             2.27              4.24            2.99                2.48                4.24            1.37             1.43           1.37               0.04               1.43                       327                            22086                        0                               0
  600x600k20s6306  600  600    20      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.02          795  14060466320620854328                 45            3961           3960                    7966              667       1522.75      2.26          3.09         53.45   323264.88    389710.72  366727.17       39119.19      446749.38           9880            6388       7633.04           2512.48              8980          20672           26966      25228.44           4480.75             27694            0         24807      217.49         1348.31            9620                      0                       6                  1.16                      1.85                         3             2.09              4.22            3.99                2.25                3.08            1.43             1.55           1.50               0.06               1.67                        78                            17511                        0                               0
  600x600k40s6306  600  600    40      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          565  14059626232996910961                 45            2811           2811                    5667              460       1491.29      3.18          4.06         57.52   126577.84    197748.09  135176.71       17088.81      197748.09           5807            3814       5189.95            823.51              3814          13245           15020      12717.35            525.70             15020            0         16003      414.38         1283.86           16003                      0                       9                  1.23                      1.75                         9             2.28              3.94            2.55                0.74                3.94            1.50             1.65           1.51               0.05               1.65                       420                            29227                        0                               0
  600x600k60s6306  600  600    60      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          370  14060472067511578457                 45            1836           1835                    3716               88        533.03      4.86          6.59         76.55    69040.03    129913.39   83559.90       13736.34      136296.55           4168            2608       3286.24           1018.83              2819           8732            8193       8962.34            424.32              9583            0         13146      225.54         1067.63            5473                      0                      14                  1.19                      2.78                        15             2.10              3.14            3.56                2.93                3.40            1.49             1.50           1.46               0.05               1.60                       598                            24866                        0                               0
  600x600k80s6306  600  600    80      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          340  14033244987054008997                 30            1694           1694                    3418              229       1194.48      5.28          6.55         89.72    54024.83    112222.80   58242.31        9525.72      112222.80           2558            1967       2457.64            263.08              1967           7018            7982       6876.57            215.93              7982            0         26089      438.16         2341.21           26089                      0                      20                  0.96                      2.99                        20             2.74              4.06            2.85                0.49                4.06            1.39             1.47           1.41               0.06               1.47                       264                            28742                        0                               0
        fortaleza  449  250    40       23231         1388           87631                 4                     1         256            0.59       0.85      0.05  1800.00        16115  14032622393653431323                840           80296          80296                  161432             9219       1036.14      0.11          0.05          0.99      974.10      9955.88    3285.87        1610.37        6150.43            511             248        353.53            112.72               206            623            2426        769.62            140.71              1077            0          6449       61.05          354.96            3898                      0                      21                  0.71                      2.74                        17             1.22              9.78            2.90                4.56                5.23            1.22             1.25           1.22               0.02               1.28                     36058                           177450                        0                               0
200x200k100s45221  200  200   100       37594         2241             165                 5                     7         256            0.59       0.85      0.05  1800.00         3847  14033295382563333370                255           19153          19153                   38561              267        128.10      0.47          0.17          2.95     5648.14      7345.26    4231.60         868.24        6915.83             89             131        140.01             43.40               215            609             862        633.43            121.77               669           17          5803      160.59          355.83            3720                      1                      32                  4.76                      6.08                        29             6.84              6.58            5.21                3.25                3.11            1.26             1.33           1.27               0.02               1.31                     17206                           146612                        0                               0
 200x200k20s45221  200  200    20       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00        13768  14059623832041363835                870           68555          68555                  137980             7165        940.91      0.13          0.09          1.54     5695.13     33677.49    8652.54        3821.64       22814.74           1406             601       1266.77            225.22              1007           2608            4236       2395.04            129.47              3465            0          3898       28.54          168.31            2926                      0                       7                  0.44                      1.01                         5             1.85              7.05            2.08                1.39                3.44            1.26             1.30           1.22               0.03               1.32                      3895                           118293                        0                               0
 200x200k40s45221  200  200    40       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.01         8079  14060150162369298813                408           40260          40260                   80928             3193        712.59      0.22          0.10          1.82     1843.18     15563.31    5424.15        4028.47       11929.03            716             227        608.42            161.49               611           1262            1552       1289.56            124.05              1539            0          4381       49.56          264.40            2704                      0                      14                  0.61                      1.87                        13             1.76              6.84            2.94                8.06                2.52            1.23             1.29           1.24               0.03               1.27                      9433                           125097                        0                               0
 200x200k60s45221  200  200    60       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.01         5475  14060157406391783742                330           27270          27270                   54870             2902        952.21      0.33          0.13          2.40     1709.91     14452.78    3946.92        2352.92       14452.78            462             257        388.20            101.55               257            843            1730        898.25            139.56              1730            0          6223       90.78          370.01            6223                      0                      24                  1.32                      3.52                        24             1.82              6.73            2.72                1.86                6.73            1.23             1.28           1.26               0.02               1.28                      8862                           127926                        0                               0
 200x200k80s45221  200  200    80       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         4334  14060314686331987118                195           21606          21606                   43407              623        246.47      0.42          0.13          2.74     1246.08      8856.26    3040.54        1578.83        5089.14            329             178        264.07             79.00               265            646             988        657.87             73.51               863            0          4230       71.56          283.01            2657                      0                      24                  1.67                      4.28                        22             1.96              5.55            2.93                1.75                3.26            1.24             1.35           1.25               0.02               1.33                      9270                           128950                        0                               0
300x300k100s94113  300  300   100       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1509  14059683111654387135                105            7511           7511                   15127             1150       1382.15      1.19          0.72         11.17     4580.41     19818.87    7918.81        2155.25       14894.60            503             390        404.40             89.71               423           1093            1998       1202.93            134.29              1825            0         10027      150.47          671.89            8304                      0                      31                  3.91                      6.95                        28             2.17              5.12            3.34                2.03                4.31            1.28             1.34           1.30               0.02               1.37                      6730                            77172                        0                               0
